City,Year,Brand,Model,Fuel_Type,Transmission,KM_Driven,Owner,EMI_Price,Price
Noida,2018,Volkswagen,Ameo,Petrol,Manual,399000,1st owner,"EMI ₹7,808/m","₹7,808"
Noida,2022,Mahindra,XUV700,Petrol,Auto,2050000,1st owner,"EMI ₹39,020/m","₹39,020"
Noida,2019,Maruti,Baleno,Petrol,Manual,349000,2nd owner,"EMI ₹6,827/m","₹6,827"
Noida,2016,Maruti,Swift,Petrol,Manual,334000,2nd owner,"EMI ₹6,530/m","₹6,530"
Noida,2015,Volkswagen,Polo,Petrol,Manual,331000,1st owner,"EMI ₹7,362/m","₹7,362"
Noida,2024,Honda,Amaze,Petrol,Manual,875000,1st owner,"EMI ₹16,646/m","₹16,646"
Noida,2021,Honda,City,Petrol,Auto,951000,1st owner,"EMI ₹18,101/m","₹18,101"
Noida,2023,KIA,SONET,Petrol,Manual,843000,1st owner,"EMI ₹16,044/m","₹16,044"
Noida,2021,Toyota,URBAN,Petrol,Manual,665000,1st owner,"EMI ₹12,996/m","₹12,996"
Noida,2019,Honda,Amaze,Petrol,Manual,422000,1st owner,"EMI ₹8,249/m","₹8,249"
Noida,2020,Tata,Harrier,Diesel,Manual,1022000,1st owner,"EMI ₹22,221/m","₹22,221"
Noida,2019,Maruti,Baleno,Petrol,Manual,475000,1st owner,"EMI ₹9,287/m","₹9,287"
Noida,2012,Hyundai,i10,CNG,Manual,166000,1st owner,,₹1.66 lakh
Noida,2021,Hyundai,Creta,Petrol,Manual,833000,1st owner,"EMI ₹15,853/m","₹15,853"
Noida,2019,Renault,Kwid,Petrol,Manual,259000,2nd owner,"EMI ₹5,056/m","₹5,056"
Noida,2016,Ford,Ecosport,Petrol,Manual,394000,1st owner,"EMI ₹7,702/m","₹7,702"
Noida,2018,Hyundai,Creta,Petrol,Manual,597000,1st owner,"EMI ₹11,671/m","₹11,671"
Noida,2022,Skoda,SLAVIA,Petrol,Manual,1295000,1st owner,"EMI ₹24,653/m","₹24,653"
Noida,2020,MG,HECTOR,Petrol,Manual,1051000,2nd owner,"EMI ₹20,009/m","₹20,009"
Noida,2023,Mahindra,XUV700,Petrol,Auto,1395000,1st owner,"EMI ₹26,553/m","₹26,553"
Noida,2022,Tata,Safari,Diesel,Manual,1444000,1st owner,"EMI ₹27,489/m","₹27,489"
Noida,2024,Nissan,MAGNITE,Petrol,Auto,684000,1st owner,"EMI ₹13,365/m","₹13,365"
Noida,2023,Volkswagen,VIRTUS,Petrol,Manual,1060000,1st owner,"EMI ₹20,176/m","₹20,176"
Noida,2024,Tata,TIGOR,CNG,Auto,876000,1st owner,"EMI ₹16,678/m","₹16,678"
Noida,2022,Maruti,New,CNG,Manual,532000,1st owner,"EMI ₹10,403/m","₹10,403"
