City,Year,Brand,Model,Fuel_Type,Transmission,KM_Driven,Owner,EMI_Price,Price,KM_Representation,Car_Age,Price_per_KM,Price_Category
Indore,2021,Tata,Altroz,Diesel,Manual,568000.0,1St Owner,11105.0,11105.0,L,4,0.02,Budget
Indore,2020,Tata,Harrier,Diesel,Manual,1032000.0,1St Owner,19643.0,19643.0,L,5,0.02,Budget
Indore,2016,Hyundai,Grand,Petrol,Manual,355000.0,1St Owner,6940.0,6940.0,L,9,0.02,Budget
Indore,2019,Datsun,Redi,Petrol,Manual,193000.0,2Nd Owner,3773.0,3773.0,L,6,0.02,Budget
Indore,2018,Ford,Freestyle,Diesel,Manual,465000.0,2Nd Owner,9091.0,9091.0,L,7,0.02,Budget
Indore,2019,Maruti,Baleno,Petrol,Manual,497000.0,1St Owner,9716.0,9716.0,L,6,0.02,Budget
Indore,2019,Renault,Kwid,Petrol,Manual,271000.0,2Nd Owner,5298.0,5298.0,L,6,0.02,Budget
Indore,2021,Hyundai,Venue,Petrol,Manual,660000.0,1St Owner,12903.0,12903.0,L,4,0.02,Budget
Indore,2016,Hyundai,Xcent,Petrol,Manual,325000.0,2Nd Owner,6354.0,6354.0,L,9,0.02,Budget
Indore,2021,Maruti,S,Petrol,Manual,329000.0,2Nd Owner,6427.0,6427.0,L,4,0.02,Budget
Indore,2017,Mahindra,Kuv100,Petrol,Manual,312000.0,1St Owner,6100.0,6100.0,L,8,0.02,Budget
Indore,2022,Kia,Seltos,Petrol,Manual,915000.0,1St Owner,17416.0,17416.0,L,3,0.02,Budget
Indore,2021,Tata,Altroz,Petrol,Manual,555000.0,1St Owner,10850.0,10850.0,L,4,0.02,Budget
Noida,2022,Tata,Safari,Diesel,Manual,1563000.0,1St Owner,29755.0,29755.0,L,3,0.02,Budget
Noida,2021,Mg,Hector,Petrol,Manual,968000.0,1St Owner,18426.0,18426.0,L,4,0.02,Budget
Noida,2018,Volkswagen,Ameo,Petrol,Manual,399000.0,1St Owner,7808.0,7808.0,L,7,0.02,Budget
Noida,2022,Mahindra,Xuv700,Petrol,Auto,2050000.0,1St Owner,39020.0,39020.0,L,3,0.02,Budget
Noida,2019,Maruti,Baleno,Petrol,Manual,349000.0,2Nd Owner,6827.0,6827.0,L,6,0.02,Budget
Noida,2016,Maruti,Swift,Petrol,Manual,334000.0,2Nd Owner,6530.0,6530.0,L,9,0.02,Budget
Noida,2015,Volkswagen,Polo,Petrol,Manual,331000.0,1St Owner,7362.0,7362.0,L,10,0.02,Budget
Noida,2024,Honda,Amaze,Petrol,Manual,875000.0,1St Owner,16646.0,16646.0,L,1,0.02,Budget
Noida,2021,Honda,City,Petrol,Auto,951000.0,1St Owner,18101.0,18101.0,L,4,0.02,Budget
Noida,2023,Kia,Sonet,Petrol,Manual,843000.0,1St Owner,16044.0,16044.0,L,2,0.02,Budget
Noida,2021,Toyota,Urban,Petrol,Manual,665000.0,1St Owner,12996.0,12996.0,L,4,0.02,Budget
Noida,2019,Honda,Amaze,Petrol,Manual,422000.0,1St Owner,8249.0,8249.0,L,6,0.02,Budget
Noida,2020,Tata,Harrier,Diesel,Manual,1022000.0,1St Owner,22221.0,22221.0,L,5,0.02,Budget
Noida,2019,Maruti,Baleno,Petrol,Manual,475000.0,1St Owner,9287.0,9287.0,L,6,0.02,Budget
Noida,2012,Hyundai,I10,Cng,Manual,166000.0,1St Owner,10889.0,166000.0,L,13,1.0,Budget
Noida,2021,Hyundai,Creta,Petrol,Manual,833000.0,1St Owner,15853.0,15853.0,L,4,0.02,Budget
Noida,2019,Renault,Kwid,Petrol,Manual,259000.0,2Nd Owner,5056.0,5056.0,L,6,0.02,Budget
Noida,2016,Ford,Ecosport,Petrol,Manual,394000.0,1St Owner,7702.0,7702.0,L,9,0.02,Budget
Noida,2018,Hyundai,Creta,Petrol,Manual,597000.0,1St Owner,11671.0,11671.0,L,7,0.02,Budget
Noida,2022,Skoda,Slavia,Petrol,Manual,1295000.0,1St Owner,24653.0,24653.0,L,3,0.02,Budget
Noida,2020,Mg,Hector,Petrol,Manual,1051000.0,2Nd Owner,20009.0,20009.0,L,5,0.02,Budget
Noida,2023,Mahindra,Xuv700,Petrol,Auto,1395000.0,1St Owner,26553.0,26553.0,L,2,0.02,Budget
Noida,2022,Tata,Safari,Diesel,Manual,1444000.0,1St Owner,27489.0,27489.0,L,3,0.02,Budget
Noida,2024,Nissan,Magnite,Petrol,Auto,684000.0,1St Owner,13365.0,13365.0,L,1,0.02,Budget
Noida,2023,Volkswagen,Virtus,Petrol,Manual,1060000.0,1St Owner,20176.0,20176.0,L,2,0.02,Budget
Noida,2024,Tata,Tigor,Cng,Auto,876000.0,1St Owner,16678.0,16678.0,L,1,0.02,Budget
Noida,2022,Maruti,New,Cng,Manual,532000.0,1St Owner,10403.0,10403.0,L,3,0.02,Budget
Noida,2018,Honda,City,Petrol,Manual,708000.0,1St Owner,13834.0,13834.0,L,7,0.02,Budget
Noida,2023,Tata,Nexon,Petrol,Manual,759000.0,1St Owner,14836.0,14836.0,L,2,0.02,Budget
Noida,2016,Ford,Ecosport,Petrol,Auto,398000.0,2Nd Owner,7789.0,7789.0,L,9,0.02,Budget
Noida,2017,Honda,City,Petrol,Manual,465000.0,2Nd Owner,9091.0,9091.0,L,8,0.02,Budget
Noida,2023,Mahindra,Xuv300,Petrol,Manual,688000.0,1St Owner,13459.0,13459.0,L,2,0.02,Budget
